id,text,processed_text
1,تخفيضات كبيرة بمناسبة رمضان في متجرنا الجديد,تخفيضات كبيرة بمناسبة رمضان متجرنا الجديد
2,عروض رمضان مستمرة حتى نهاية الشهر الكريم,عروض رمضان مستمرة نهاية الشهر الكريم
3,خصومات تصل إلى 50% على جميع المنتجات بمناسبة رمضان,خصومات تصل 50 جميع المنتجات بمناسبة رمضان
4,تسوق الآن واستفد من تخفيضات رمضان الحصرية,تسوق الان استفد تخفيضات رمضان الحصرية
5,عروض خاصة على الأجهزة المنزلية خلال شهر رمضان,عروض خاصة الاجهزة المنزلية خلال شهر رمضان
6,آخر أخبار فيروس كورونا في المملكة العربية السعودية,اخر اخبار فيروس كورونا المملكة العربية السعودية
7,وزارة الصحة تعلن عن إجراءات جديدة للوقاية من كورونا,وزارة الصحة تعلن اجراءات جديدة للوقاية كورونا
8,لقاح كورونا متوفر الآن في جميع المراكز الصحية,لقاح كورونا متوفر الان جميع المراكز الصحية
9,نصائح للوقاية من فيروس كورونا خلال شهر رمضان,نصائح للوقاية فيروس كورونا خلال شهر رمضان
10,تقرير جديد عن انخفاض حالات الإصابة بفيروس كورونا,تقرير جديد انخفاض حالات الاصابة بفيروس كورونا
11,مباراة الهلال القادمة ستكون يوم الجمعة على استاد الملك فهد,مباراة الهلال القادمة ستكون يوم الجمعة استاد الملك فهد
12,جماهير الهلال تستعد لحضور المباراة النهائية,جماهير الهلال تستعد لحضور المباراة النهائية
13,الهلال يفوز بالمباراة ويتأهل للدور النهائي,الهلال يفوز بالمباراة يتاهل للدور النهائي
14,تشكيلة الهلال المتوقعة في مباراة الغد,تشكيلة الهلال المتوقعة مباراة الغد
15,نجم الهلال يسجل هدفين في المباراة الأخيرة,نجم الهلال يسجل هدفين المباراة الاخيرة
