id,text,created_at
1,تخفيضات كبيرة بمناسبة رمضان في متجرنا الجديد,2023-03-15T12:30:45Z
2,عروض رمضان مستمرة حتى نهاية الشهر الكريم,2023-03-16T08:15:22Z
3,خصومات تصل إلى 50% على جميع المنتجات بمناسبة رمضان,2023-03-16T14:22:10Z
4,تسوق الآن واستفد من تخفيضات رمضان الحصرية,2023-03-17T09:45:33Z
5,عروض خاصة على الأجهزة المنزلية خلال شهر رمضان,2023-03-17T16:30:12Z
6,آخر أخبار فيروس كورونا في المملكة العربية السعودية,2023-03-15T10:20:15Z
7,وزارة الصحة تعلن عن إجراءات جديدة للوقاية من كورونا,2023-03-16T11:05:40Z
8,لقاح كورونا متوفر الآن في جميع المراكز الصحية,2023-03-17T13:25:18Z
9,نصائح للوقاية من فيروس كورونا خلال شهر رمضان,2023-03-18T08:10:30Z
10,تقرير جديد عن انخفاض حالات الإصابة بفيروس كورونا,2023-03-18T15:40:22Z
11,مباراة الهلال القادمة ستكون يوم الجمعة على استاد الملك فهد,2023-03-15T18:30:45Z
12,جماهير الهلال تستعد لحضور المباراة النهائية,2023-03-16T20:15:10Z
13,الهلال يفوز بالمباراة ويتأهل للدور النهائي,2023-03-17T22:05:33Z
14,تشكيلة الهلال المتوقعة في مباراة الغد,2023-03-18T19:40:15Z
15,نجم الهلال يسجل هدفين في المباراة الأخيرة,2023-03-19T21:15:28Z
